,DESCRICAO
31979,CONEXOES MAT FUNCOES 0193P21202134IL
31980,SANDOSTATIN LAR MPVI 30 MG GOV
31981,181.03.36 - CABECA BIOLOX DELTA 36MM L
31982,1020-3227 #132 DEG 27MM NECK TRIAL
31983,SARDINHA ENLATADA
31984,ROLO DE TRANSFERENCIA
31985,HORTIFRUTIGRANJEIROS/NABO
31986,CHEIRO VERDE
31987,BATATA ASTERIX
31988,"BATERIA LI-ION, 7,2 V 8,7 AH (ENERGIA INSPIRADA)"
31989,CABO DO GUIA ACUFEX
31990,MANJERICAO IN NATURA
31991,BATERIA 12V 7A ALARME
31992,QUEROSENE DE AVIACAO JET A
31993,COMP. ACETABULAR POLIETILENO NUCLEO CROSSLKD 10o 58X32MM
31994,SUSTAGEN KIDS CHOCOLATE LATA 380G - MEAD JOHNNSON
31995,ARCO NITI 016X022 INF M
31997,"Ar Medicinal Cil K 6,6M3 NC ."
31998,PEDRA SANIT 35G EUCALIPTO - SANY MIX--
32000,COMP FEM BLOC MET DIST-UNIC 20-C
32001,"IMPR. MULT LASER MONO BROTHER DCPL2540DW, IMP.2400X600 DPI,30PPM, 32MB MEM, CICLO 10.000 PÁGINAS"
32002,VALVULA UTILIZADA EM EQUIPAMENTO DE MEDICINA NUCLEAR.
32003,PROCORALAN 5MG CX C/56 COMP. Subst.: IVABRADINA Temp 15 a 30 C Lab. SERVIER
32004,CAMPAINHA CIGARRA BIKI/BRANCA
32005,0299P20032007BL   Arariba Mais - Ciencias - 7 ano
32006,"Doces, tipo casadinho, embalado e pronto para o consumo, sabor coco e chocolate, tamanho pequeno par"
32007,CILINDRO MESTRE DE FREIO COD 232012
32008,FITA CORRETIVA 5MMX6M
32009,MONIT HP P24A G4 FHD BRZL 3Y0Q4AA#AC4 HP
32010,INHAME
32011,Papel A4
32012,LAMPADA FAROL
32014,BANANA CATURRA
32015,ENCHIMENTO
32016,PNLD2021 PRIS CIENC HUM - VOL5 - SUS EM ACAO SOC E NAT - AL
32017,LAMINA DE LIMPEZA AF2022/2510/2851/3025/3350
32018,BRAVECTO 500MG 10 A 20KG
32019,Envelope Saco GPK Kraft Natural 200x280mm PCT 10UN
32021,AGUA SANITARIA QUIMICPAR 5L
32022,AGUA DESTILADA 1 LT A01 3368
32023,ACUCAR REFINADO 1KG
32024,PARAFUSO X-DRIVE HT CMF 1.5X7MM          RA: 80094170031 LT: 658600
32025,BICO DE ARLA
32026,MIOLO ACEM BOV CONG
32027,LARANJA KG
32028,COMP TIB POL LPSFLEX-P CD3-4 17MM
32029,SABÃO EM BARRA
32030,HASTE FEMORAL QUADRIL CPT II No 4 OFFSET LONGO 130MM
32031,BIELETA L200 TRITON
32032,SERINGA COM HEPARINA DE LITIO
32033,"CJ PNLD 2023 COLECAO A CONQUISTA VOL 4,5 HIS EFAI PROF 0133P23040 - M 0133P23040"
32034,ACIDO ACETILSALICILICO 100MG SALICETIL (CX 500CPR 25X20)
32035,COLA LOCTITE
32036,ETBF2820C145EE #ENXERTO TUBULAR ENDURANT II BIF 28X20X145
32037,SORO CONTROLE RH - 10 ML EBRAM  (104)(Lote:06490A1014   Dt.Validade:30/09/2023 )
32038,XAROPE GUARANA 5 LITROS
32039,ALFACE
32040,POLIDOR DE METAIS WORKER 200 ML
32041,TAMPA RESERVATO
32042,2022- BURITI MAIS HISTORIA 5 ANO
32043,"PNEU 295/80R22,5 FORMULA BOR T"
32044,"CEBOLA, BATATA E ALHO - BATATA"
32045,SUPLEMENTACAO/ENTERAIS
32046,"FRUTA, TIPO LIMAO TAITI NATURAL"
32047,INSERTO TIBIAL EP T2 14MM
32048,CEBOLA
32049,LANCHE COMPLETO
32052,PROTETOR CERUMEN WAX GUARD MINI RECEIVER (08 UND)
32053,"GALERA - ODIO QUE VOCE SEMEIA, O - THOMAS 20 Ed 2017"
32054,QUEROSENE SOLTEX 900ML
32055,FLANELA BRANCA 28X38CM UNIAO
32056,JG BRONZINA BIELA 025
32057,RAIZ DE MANDIOCA
32058,QUEROSENE DE AVIACAO JET A
32059,BANANA PRATA
32061,Parafuso cabeca chata Philips 35 x 25mm caixa com 500unidades
32062,AFASTADOR LANGENBECK 21CM 70X20
32063,CABO DE LIGAÇÃO PAINEL DE INSTRUÇÃO
32064,BARRA CEREAL 20G CX C/24 UNI
32065,Diazepam com 5 mg/ml. Caixa com 50 ampolas
32066,HORTIFRUTIGRANJEIROS/SALSA
32067,C - PAPEL HIG. ROLAO 100% CELULOSE FL.SIMPLES 10x300m C/08 - SUPREMO
32068,ELEMENTO DO FILTRO DE OLEO VW JETTA 2.5 2008
32069,CONJUNTO ACADÊMICO
32070,PINO DE ORIENTACAO PEDICULAR
32071,FOS - FOSFOMICINA 200MCG 50UN/FRASCO - CECON
32072,SACO LIXO PRETO
32073,IVERMECTINA 6MG G C/500 GENERICO 1039201670039
32074,T. PERFIL BC 600 X 600 X 300
32075,BUCHA BALANCA DIANT
32076,ADILOZ 600MG BLTX10 COM REV-S-MS
32077,BUR MAIS C3 ED2 0021P23030003LE
32078,PROVA FEMORAL DIREITO CR D
32079,CIPROFLOXACINO 500MG G C/300 GENERICO 1256801500099
32080,"VITEK 2 COMPACT - SALINA  0,45%"
32082,MULHERES E ROSAS VIDA E SONHO DE MONOCULO - LETRA PERNAMBUCANA
32083,BATATA INGLESA
32084,FANTASTICA FABRICA DE CHOCOLAT
32085,CJ TACTEL  AZUL ROYAL GG
32086,"Apagador de Quadro Branco Go Office 13x4x2,3cm EVA"
32087,Cateter Ureteral Duplo J 6 Fr x 26 cm Sem Fio Lote: 007577 x140 Val: 23/05/2025 MS: 80691560010
32088,"PEGADOR SALADA INOX 28,5CM TRC7538"
32089,"PLACA PBAS 3,5MM 07F GMREIS"
32091,Alface lisa kg
32092,C-KPC - AGAR CROMOCEN KPC PLACA 90X15 (PTE C/10)   - Lote:C-KPC010001
32093,LAMPADA 12V 21/5W
32094,"EG-760Z, VIDEOENDOSCOPIO SERIE 760"
32095,"MA1013A - TWIST DRILLS 2,5MM"
32096,TAE103483 JUNTA DA TAMPA DO CABECOTE
32098,GAS REFRIGERANTE R22 Eos
32099,Alface lisa
32100,"FERRO CA-50, TIPO VERGALHÃO, PARA ESTRUTURAÇÃO DE CONCRETO ARMADO BITOLA 4.2', BARRA COM 12 METROS"
32101,FARINHA MANDIOCA FARIMAN T1 500G
32103,DIESEL B S-10
32105,INDUZIDO MOTOR DE PARTIDA 12V
32106,CALCO
32107,"PONTEIRA RESSECCAO ENDO. RETA FULL RADIUS ELITE 4,5 MM,CASTANHA.80804050138 RMS.80804050138"
32108,CAMINHAO FURGAO 416 SPR
32109,CARBENDAZIM FR.10MG LOTE:BCCC5623
32110,OLANZAPINA 5 MG. Vlr Aprox.Tributos: R$ 272.29 (0%)
32111,"GRAXA 0,5KG"
32112,QUEROSENE DE AVIACAO JET A
32113,CAMPO OPERATORIO 45X50CM SEM RADIOPACO - ERIMAX
32114,"ESCAREADOR 3,5 - Lote:2737K16 - Valid:31/12/2049 - Anvisa:10223710125 - Ref.: 1998/02"
32115,PAO INTEG.VALE DO SOL CAST.CAJU 400G PT
32116,LUVA
32117,Papel Hig Fancy Folha Dupla C/16 Fancy UN
32118,SACO MATERIAL RAFIA COR BRANCA ALTURA 120 LARGURA 70
32119,CONECTOR ELETRICO COM SENSOR PN 3876000-1 SN; 7-05104-324
32120,OLEO 5W30ML
32121,DISJUNTOR BIPOLAR 25A C
32122,AMANCO PR - LUVA SOLD 32MM CB
32123,TOMATE
32124,ERVA SECA-CARAPANAUBA
32126,"TELHA FIBROCIMENTO OND 2,44 X 1,1 6MM CONFIBRA CINZA"
32127,114722\TERMOSTATO DA BATERIA
32128,REPOLHO ROXO
32130,JANTAR NORMAL BEBIDAS BRIGADA
32131,"PICOLE, EMBALADO, DIVERSOS SABORES"
32132,500DM33 -VALVULA CARDIACA MECANICA OPEN PIVOT STANDARD MITRAL 33mm
32133,CADEIRA CAPL LIGHT PINT PRETO TEC CREATIVE 1011
32134,OLEO DIESEL B S10
32135,BATATA INGLESA
32136,LIV - DA ESCOLA PARA O MUNDO - ARTE - 2o ANO PNLD 2023 AL
32137,UVAS PASSAS PRETA UNIAGRO S/SEM 1KG
32138,22256BC040010L\PARAFUSO
32139,HORTIFRUTIGRANJEIROS/ABOBORA
32140,MACA
32141,"COPO PLASTICO PARA CAFE,REFORCADO,POLIESTIRENO,CAIXA COM 5000 UNIDADES,CAPACIDADE PARA 50 ML, TOTALPLAST"
32142,RACAO P/ RATOS E CAMUNDONGOS - MARCA NUVILAB - SC 20KG  - QUIMTIA
32143,GUIA DE BROCA COM DENTES
32144,CHIMIA DE BANANA (2 KG)
32146,PERFIL TRILO 50
32147,CIE NAT POLUICAO E 0194P21203136IM
32148,SACO P/LIXO 100L PRETO 5M 75X85 NEK C/100UN
32149,PALITO DE DENTE
32150,VASSOURA CONDOR VARRE FÁCIL UN
32151,FILTRO SEPARADOR
32152,COENTROCLASSIFICACAO SEM CARACTERISTICAS
32153,(153 - C2670) -CILINDRO MESTRE EMBREAGEM
32154,POLPA DE GOIABA
32155,Bateria Powertek 12V 7AH EN012
32156,"FUSIVEL VIDRO 6x32 0,5A"
32157,PASTILHA SANITARIA 35G
32158,ODORIZADOR
32159,"CLORETO DE SODIO 0,9% 500ML (T)"
32160,LAMPADA PINGAO 16W
32161,GUARDANAPO DE PAPEL BRANCA TIPO FOLHAS SIMPLES
32164,UNIDADE GERENCIAMENTO RADIO
32165,FIGO EM CALDA LATA
32166,OLEO LUB TAMBOR 20L
32167,Caboclo Tupinamba [v.2]
32168,Kit Teclado e Mouse sem Fio Fortrek WCF101
32169,VINAGREIRA CLASSIFICACAO SEM CARACTERISTICAS
32170,ABOBRINHA
32171,CABO 7 MM DOUBLE EPR/EPR SUPRESS CINZA BOSCH CO6080001
32172,"DESMOPRESSINA 2,5ML (GENERICO)"
32173,MAÇA
32174,"POTE DE SORVETE 1,5 L"
32176,"GOIABADA PREDILECTA 1,01KG"
32177,QUEIJO MUSSARELA INTEIRO ALTO DO VALE 4KG
32178,"HAURELIO, Marco. Contos e fabulas do Brasil. 1 ed. Sao Paulo: Nova Alexandria"
32181,OLEO MOTOR LT 20W50
32182,MAQUINA DE VIDRO DA PORTA DIANT. ESQ
32184,CELULAR MARCA IPRO /// 'VEDADA A COMERCIALIZACAO'
32185,ESPONJA UNITARIA MULTI USO VERDE AMARELA JEITOSA
32187,COMP. ACETABULAR LINER CONSTRITO LONGEVITY 56X32MM
32188,ROSCA DE MANDIOCA
32189,UF-CELLPACK SF UPF-300A (SBR) P2005
32190,PACOM DPF NOVO BRASAO - PROMASP
32191,CANULA ARTERIAL - ARAMADA PONTA CURVA 80o 22FR CL SERIE: 192396-026222
32192,1201-1032 - CABECA FEMORAL 32 C CURTO -3MM
32193,PAO DE QUEIJO
32194,PARAFUSO DE INTERFERENCIA BIO-
32195,SOQUETE LUZ ALTA E
32196,FERROPURUM 100MG/5ML - BLAU - 22021348 - Val.:29/02/2024
32197,PONTO DE ACESSO
32198,FILTRO
32199,2023 - ARARIBA MAIS GEOGRAFIA 6 ANO
32200,"CONDIMENTO,TIPO ALHO, APRESENTACAO NATURAL,ADICIONAL CABECA"
32201,"ITEM COMPRA 004 - PINO IMPLANTAVEL ORTOPEDICO, MAT  ACO INOXIDAVEL, MOD SCHANZ, CORPO COM ROSCA CORTICAL CONICA DIAMETRO"
32202,"LEGUME IN NATURA, TIPO PEPINO"
32203,COPO DESC TOTAL PLAST BRANCO 180ML
32206,Tampa da caixa da bateria
32207,PE DE BRINCADEIRA PRE ESCOLA 4 E 5 ANOS E 11 MESES
32209,ACEROLA
32210,OLHAL OCO 14MM
32211,Cartucho pstylus amarelo T073420BR Epson CX 1 UN
32212,"7203026000 #PASSA FIO PARA PERFURADOR DUPLO 0,7-1,8 MM"
32213,PSCCO JOELHO 50 MM 45º
32214,SELANTE SILICONE INCOLOR
32215,CARNE ACEM
32216,GUIA DE LIGAMENTO CRUZADO ANTERIOR - Lote:G4925 - Valid:31/12/2049 - Anvisa:10223710080 - Ref.: 2457
32217,"ERVILHA 1,7KG"
32219,HASTE FEMORAL LATERALIZADA CONICO 12/14 #13 LOTE:201908782
32220,SINALEIRO LK16-22 (VERDE) 220V LED LUKMA
32222,"DEXAVISON 1MG/ML+3,5MG/ML SOLUCAO OFTALMICA C/5ML"
32223,Pl. Agar Chocolate c/Vitox 2% 90mm Plast La Anvisa: 80035670010
32225,QUEROSENE AVIACAO - JET A1 NAC
32226,AGUA 20LT
32227,MULTIFUNCIONAL LASER HP LASERJET PRO M428FDW MONO
32228,TAMPA CEGA P/ CONDULETE TOP
32229,FECHADURA SUPER LOCKW 90MM 4149N CR
32230,5510-T-501 #TRIATHLON CR FEM TRL S/SN.5LT
32231,ABX BASOLYSE II 1L - 450H - 220803I2 - 03/08/23
32232,ALFACE ROXA
32233,CANULA DE GUEDEL N 2 DESCARPACK
32234,FARINHA DE TRIGO
32235,TRANSFERIDOR DE GRAUS C/ ENCAIXE 1/2
32236,ALFACE AMERICANA
32237,"JOGO DE CHAVE ALLEN DE 1,3 A 10MM COM 25 PECAS"
32238,PARAFUSO CORTICAL 4.5X66MM AUTO ROSQ.        - Lote: O05927
32239,TRIANGULO SEGURANCA
32240,AIPIM GONGELADO
32241,"ARQUE - TRAVESSIA, A - YOUNG 1 Ed 2016"
32242,"LUVA DE REDUCAO SOLD 32 X 25, KRONA"
32243,SERVO FREIO TOYOTA HILUX 05/15
32244,Conv Eth Ópt 10/100/1000 33 SM 20km - duas fibras SC
32245,HORTIFRUTIGRANJEIROS/SALSAO VERDECONVENCIONAL
32247,FILTRO DE OLEO
32248,ESPONJA DUPLA FACE 71x100mm - BETTANIN MULTIUSO PLUS 9406F (EMBALADA)
32249,"OCLUSOR FIGULLA FLEX II ASD 13,5"
32250,Fosforo de Seguranca Billa Longo 250UN
32251,ITEM 392 - INSIGNIA DE MAJOR AVIADOR PARA MASTRO TAMANHO 1 EM POLIAMIA
32252,RELOGIO MECANICO-PAINEL COCKPIT
32253,Fita Dupla Face Scotch 3M 19mmX30m 4873
32254,MULTIUSO UAU 500ML
32255,MOLHA DEDO GLICERINA 12GRS
32256,GLYCOPHOS (CX 10 AMP X 20 ML)
32257,PACOM DPF NOVO BRASAO - PROMASP
32258,BUR MAIS H3 ED2 0037P23040003LE
32259,SABAO EM BARRA PCT 5UND
32261,FILTRO DE AR
32262,PARAFUSO DESLIZANTE 6.5X95MM - Lote:Q28787 - Valid:31/12/2049 - Anvisa:10223710076 - Ref.: 4829/05
32263,RIFAMICINA 10MG/ML SPRAY 20ML
32264,FILTRO DE CABINE MITSUBISHI L200 TRITON/PAJERO DAKAR 13/..AKX1995 WEGA
32265,TONER ORIGINAL LEXMARK 78CBXM0 COR:MAGENTA
32266,NASCO B01062WA BOLSADE 118ML COM TARJA DE IDENTIFICACAO CX COM 100UN
32267,3-ETANOL
32269,Uma girafa e tanto
32270,CURVA DE PVC 1 1/4'LONGA 90o ROSCAVEL PARA ELETRODUTO - ANTICHAMA PRETA
32271,LANTERNA TRAS. L200 TRITON 07/.. LD
32272,"LEGUME IN NATURA, TIPO BETERRABA"
32273,Bucha 10
32274,FIAT BIELETA SUSPENSAO DIANTEIRA
32276,HASTE FEMORAL LATERALIZADA - CONICO 12/14 # 5 LOTE:2206009
32277,OCULOS DE PROTECAO LENTE CLARA
32278,NT EDITORA | INTRODUCAO A ADMINISTRACAO EM ENFERMAGEM | Ed: 12021
32279,NEUPSILIN LIVRO DE INSTRUCOES VOL.1
32283,CHEIRO VERDE
32284,PEGADOR SALADA INOX 28CM 5514KH
32285,EMENDA RJ45
32286,FENOBARBITAL 100MG CPR C/30
32288,FLUIDO DE FREIO
32289,MELAO
32290,SACO DE LIXO PRETO 200L PCT C/ 100
32291,ANCORA OSTEORAPTOR 2.9
32292,REPOLHO
32293,CANETA ESF. BIC MEDIA AZ
32294,Mamao Formosa Kg
32295,PLACA TERRA AD. SKINTACT
32297,FILTRO DE OLEO
32298,CREME DE LEITE MOCOCA 200G
32299,BROMOPRIDA 4MG/ML GTS C/20ML GENERICO
32300,DISCO ANTIBIOGRAMA CEFAZOLINA (CFZ 30)
32301,SCANNER FI-6670 FUJITSU
32302,"AFRICA E OS AFRICANOS NA HISTORIA E NOS MITOS, A - NOVA FRONTEIRA"
32303,NOVATEC | GUIA MANGA FISIOLOGIA | ED: 12017
32304,MOLA PARA EMBOLIZACAO MREYE IMWCE-5-PDA-4
32306,MELANCIA
32307,ELEMENTO FILTRO AR MOTOR FORD RANGER 08/12
32308,BOLO STA EDWIGES LARANJA
32309,PAPEL HIG NEUTRO 300X8 C/8 SOLIS
32310,BLOCO DIRECIONADOR GRAFTIII
32311,FILTRO DIESEL PSC990
32312,EQUIPO - BOMBA FOTO AGILIA ON90
32313,BIPERIDENO 2MG (C1) CX.C/200 (20BLX10CPRXSUL) -L:21081000 V:08/24 Q:1
32314,DISJ. DIN UNI 40A
32315,PIMENTAO VERDE
32316,FARINHA TRIGO 1KG
32317,Niobio Metalico em Po
32318,HORTIFRUTIGRANJEIROS/BATATA DOCE
32319,TINTA SPRAY AMARELO 400ML
32320,542-11-68I #PROT Q TRIDENT ACETABULOPSL 68 MM
32321,MACANETA PORTA SALAO
32322,M210 - FITA DE VELCRO DUPLA FACE (ROLO)
32323,AVENTAL TNT BRANCO MANGA LONGA K-DU C/10UN R-9145
32324,ÓLEO DE SOJA COMESTIVEL
32325,COUVE MANTEIGA
32327,CHICOTE ELETRICO GERAL
32328,71104188 FILTRO
32329,POLPA DE MARACUJA
32330,GAS REFREIGERANTE R22 R410 A
32331,3ALCOOL 70 LIQUIDO SUPERVALE 1L
32332,GEN INST MODULAR DRILL 3.2 X 15MM (EFFECTIVE) - Lote:077158 - Valid:31/12/2999 - Anvisa:80346180005 - Ref.: 921.104
32334,STIHL LAMINA 3 FACAS 300 MM 41197134100
32335,DEGARELIX ACETATO 80 MG/FIRMAGON 80 MG Cx 1 Unid FERRING
32337,Padrao Optico Proteon Transmitancia 50% SSH
32338,"AGUA MINERAL GARRAFA 1,5 LTS"
32339,BANANA NANICA OU CATURRA
32340,CORREIA DO ALTERNADOR
32341,MINI PAR.CAN.DE COMP.04.0x24x48mm ROSCA PARC.LONGA
32343,FILTRO DIALISADOR ALTO FLUXO FX60 1.4
32344,FEIJÃO PRETO
32345,SERRA COPO DIAMANTADA 30MM C/ HASTE
32346,LIDS  TRAY  240  CX C  240 und BECKMAN COULTER  Lt  2026-01-26 Val   26/01/2026
32347,HORTIFRUTICOLA JILO BRANCO FRESCO KG PRODUTOR/EXTRATOR
32349,PAO DE LEITE DA ESCOLA
32350,LIVRO AJ GEO 1 F1 LP PNLD 23 OB1
32351,IOGURTE SABOR MORANGO
32352,VANCOMICINA 500 mg (cx 25 frascos)
32353,"PLACA DE COMUNICAÇÃO VISUAL, EM  ACRÍLICO, COM PENETRAÇÃO MINIMA DE 25 MICRONS MED. 35X8CM"
32354,LARANJA PERA
32355,HASTE TRANSVERSAL 03.2x80mm
32356,ELEMENTO DO FILTRO DE AR
32357,FILTRO COMBUSTIVEL / *
32358,RELOGIO DE PAREDE
32359,CABO FLEXIVEL 6.00MM VERDE - MF
32360,ESPELHO RETROVISOR LE
32361,BISCOITO RECHEADO SABOR VARIADO 140G
32363,"MOLHO INGLES 1,01 L"
32364,"BROCA VIDEA PLUS 6,0MM X 160MM IRWIN"
32365,CERA GUANABARA LIQUIDA INCOLOR 5L
32366,COPO BECKER GRADUADO EM SILK-SCREEN AUTOCLAVAVEL 4000ML GRAD 100ML
32367,PRE MAIS G2 0033P23050002LE
32368,TUBO LIFE SIZE CXX 3L (UNIDADE)
32370,EL. FILTRO COMBUST.
32371,PRATICAS COMENTADAS PARA INSPIRAR
32372,LAMPADA DO FAROL DE MILHA
32374,BANDEJA DE PREPARAA.A.O DE TA.
32375,Freezer Horizontal 530 Litros Porta Solida GV/CC/N/ENP/N/220V_60/N/P
32377,5532-T-511A #MODIFIED HOLLOW PS TIBIAL INSERT TRIAL #5 - 11MM
32378,CENOURA - IN NATURA
32379,UNIDADE DE PROCESSAMENTO DE DADOS Z240
32381,Abacaxi Kg
32382,NK092 Centralizador Protese Quadril Tam 12 mm ITEM 31 SEQ 003
32383,"ETIQUETA PERSONALIZADA, MATERIAL PAPEL COUCHÉ SEMI-BRILHO, COR BRANCA, LARGURA20 MM, COMPRIMENTO 53 MM, FORMATO RETANGUL"
32384,CEBOLINHA
32385,TUBO SOLDAVEL 6M CLASSE (A) KRONA - 25 MM
32386,"MASSA TOMATE, 24KCAL/100G, EMBALAGEM 4,1KG"
32387,COMP. PARICA 2.20 X 1.60 X 18MM
32388,1101-2200 #CABO T LARGO
32389,BISCOITO AMANTEIGADO
32390,Balao Trek 2.50x15-
32391,PASTA PROFILATICA. ITEM COMPRA: 12.
32392,AXIAL DIRECAO
32393,QUEROSENE DE AVIACAO JET A
32394,ADAPTADOR DO ESPACADOR 11 MM
32395,SABAO EM BARRA EMB C/1KG/GLORIA
32396,"CEBOLA AMARELA TAMANHO MEDIO, COM DIAMETRO ENTRE 6 E 8 CM"
32397,JUNTA TAMPA ESVAZIAMENTO MOTOR
32398,SILENCIOSO TRASEIRO
32399,1020-5209 #RASPA TAMANHO 9 ACCOLADEII
32400,GOIABA
32401,TAPIOCA
32402,SACO P/LIXO 40L BRANCO 3M 53X57 NEK C/100UN
32403,TINTA PISO CINZA - LAT -
32404,Fertilizante 04.14.08 50kg
32405,Alcool Etilico 1l
32406,Kiwi Kg
32407,ARRUELA VED (R) DIN 7603-A30X36 CU
32408,1101035 - BUCHA FEIXO MOLA TRAS PEQ
32409,MAMAO HAVAI
32410,PACOM DPF NOVO BRASAO - PROMASP
32411,ALINITY I CA 125 II CAL
32412,SORO ANTI-D(RH) 10ML
32413,Camiseta de Campo ICMBIO Masculina Manga Curta Cinza GG
32414,FILTRO AR MB CAMINHAO 02/ ARS9838 (CC6)
32415,Mostarda
32416,Pen Drive 16GB 2.0 Go Tech PD16G Preto
32417,INTERS - EVENTOS: UMA ESTRATEGIA BASEADA EM EXPERIENCIAS - NF 15457 14/02/22
32418,INTERACAO LINGUAGENS -  CORPOREIDADE: SOMOS CORPOS OU TEMO EM VU 2021
32419,BOLINHO
32420,FC-20-50-3D #MOLA DESTACAVEL AXIUM PRIME BARE PL 3D FRAME FC-20-50-3D
32421,PREGO PEQUENO
32422,HD EXTERNO
32423,"FILAMENTO DE MATERIAL DE SUPORTE SOLUVEL; DIAMETRO 1,75 QUANTIDADE 920 CENTIMETROS CUBICOS (CC); TEMPERATURA DE I"
32424,MULTI USO ETOP 5L
32425,LIV_ANYTIME! ALWAYS READY FOR EDUCATION_PNLD/PR
32426,PONTEIRA TESTE AMOSTRAS
32427,CURETA COBB N 02 RETA OVAL
32428,SALGADOS DIVERSOS SABORES
32429,LAMPADA FAROL BAIXO
32430,RF.SUCO DO CAMPO LARANJA
32431,ELETROVENTILADOR EXTERNO
32432,SALSICHA MAIS FRANGO 500G
32433,FILE PEITO FRANGO IND MARINGA CX18K
32434,"CADE? ACHOU! EDUCAR, CUIDAR E BRINCAR NA ACAO PEDAGOGICA DA CRECHE"
32435,"COMPONENTE TIBIAL DE POLIETILENO PS PERSONA, DIR,12MM, TIBIA  E-F/PS FEM 10-11"
32436,BISCOITO APRES WAFFLE COM RECHEIRO
32437,ALHO PORO
32438,BONE SUB OFICIAL MASCULINO - TAM. 54
32439,CONTRACAPA DE ENCADERNACAO A4 - PRETA
32440,SUTPROLENEAZ 60 75CM 2AC1
32441,FILTRO DE COMBUSTÍVEL
32442,-ENCONTROS GEOGRAFIA
32443,2023 - ARARIBA MAIS MATEMATICA 6 ANO
32444,PRANCHA SELECAO
32445,AGUA MINERAL 20L
32446,REPOLHO
32447,OLEO DE SOJA 900 ML
32448,Madeira para construcao civil medindo 18cm X 9cm  em eucalipito vermelho. Fornecimento em pecas com
32450,LIVRO AJ HISTORIA 4 LP PNLD 2019 BNCC 4
32451,5532G419 #MODELO TRIATHLON PS X3 TAM. 4 19 MM
32452,BANANA  TERRA
32453,"Papel para germinação de sementes - pH neutro formato 28x38 cm - Caixa com 1000 folhas, 65gm2"
32454,CREME DE LEITE  UHT 1LT (ITA)
32455,KITS EMBR L200 GLS SPORT HPE 2.5 TURBO 2003//PN:6233183000
32457,CABO P/ ESPELHO ADULTO
32458,Posicao: 000 ANEL PARA ANULOPLASTIA VALVULAR LABCOR STAR T-26   Codigo MS: 10171250044  STR001662
32459,OVO DE GALINHA
32460,DISJUNTOR EASY9 2P 63A CURVA C - 5KA 230V (EZ9F33263)
32461,COMP TIB MET PREC TAM  7
32462,BUTILESCOPOLAMINA+DIPIRONA 10MG+250MG C/ 20CP BELFAR BELSPAN COMPOSTO
32464,BANANA PRATA
32465,Banana caturra
32466,CONEXOES CHSA E MAT 0166P21205130IL
32467,"PARA CONHECER, ESCUTE SEU CORPO - UFPR - UNIVERSIDADE FEDERAL DO PARANA"
32469,OCLUSOR FIGULLA FLEX II ASD 21 (ANVISA-80202910069)-VENC-MS-(22/04/2024)
32470,LIMP MULTIUSO VEJA 500ML TRAD
32471,LIV TAKE ACTION! PNLD/21 AL/PR
32472,ALICATE MEIA CANA
32473,EGIA60AMT N   EGIA60AMT -CARGA TRISTAPLE 60MM ROXA ART - REGISTRO ANVISA: 0010349000296
32474,INTER.1 TC (P) IDEALE BRANCA C/PL
32475,CHA COM DIVERSOS SABORES SACHE
32476,ABOBRINHA- CEASA
32478,CATETER CENTRAL  APLICACAO VENOSO  MATERIA POLIURETANO RADIOPACO  DIAMETRO CERCA 7 FR  VIAS TRIPLO LUMEN  LUMEN 16 A 18
32479,ARROZ AGULHINHA PCT 5KG
32480,MISTURA PARA BOLO
32481,PIT MAIS CN1 0022P23030001LE
32482,PAO PLUS VITA INTEGRAL 480 G
32483,NT068R - BICONTACT  S OSTEOPERFILADOR A TAM 18MM
32484,ABOBORA CABOTIA
32485,AGUA SANITARIA CLARAIND 5L
32486,QUEROSENE DE AVIACAO JET A
32487,SALSA
32488,LIVRO ATA 200 FOLHAS
32489,CHIMICHURRI
32490,424 OLEO MOTOR Ref.: 424
32491,LUVA DE SEG PVC CANO LONGO PALMA LISA
32492,MOTOR VENTILADOR RADIADOR
32493,SAIS PARA REIDRATACAO ORAL HIDRAPLEX NATULAB
32494,OCULOS P FESTA NEW WAVE BLACK C FRASES
32495,BUCHA DA BANDEJA SUSPENSAO DIANTEIRA PARTE DIANTEIRA MOBENSANI MB9129 FLUENCE
32496,CILINDRO DE MISTURA IBG INDUSTRIAL 10 M3-
32498,JUNTA-DESM JDTA_R03.25 150
32499,ENDOBUTTON CL ULTRA 40
32500,SERVICO MECANICO - Trib. R$ 3.616.75
32501,ESPACADOR PLIFIX POSTERIOR LOMBAR DE PEEK 15mm
32502,PNLD 2022 - Bons Amigos - MP - Creche - V2
32503,CANULA DIAM 10.5 P/  PARAFUSO HBFT
32504,BENZEL
32506,DISJUNTOR 1P 16A - EZ9F33116
32507,EDITORA MODERNA LTDA. BURITI MAIS - HISTORIA - 1 ANO - PNLD2019
32508,PIT MAIS LEF 1 E 2 0015P23160022MP
32510,Repolho verde
32511,"ESMALTE SINTETICO BRANCO 3,6L ONU1263 COR BRANCO GELO"
32512,56FBU0E-TONER LEXMARK MX622ADHE PRETO
32514,COCO SECO
32515,PACOM DPF NOVO BRASAO - PROMASP
32516,PASTILHAS DE FREIO TRAS TRANSIT -JURID
32517,CRXU527803-4
32518,CARTUCHO DE TONER PRETO MP C407
32519,NUBEQA 300MG C 120 COMP REV
32520,CONEXOES CHSA ETICA 0192P21204136IL
32522,BANDAGEM POS COLETA C/500 UND AD
